episode,total_reward,episode_length,reshuffles_performed,total_distance_reduced,total_time_saved,timestamp,cube_0_final_dist,cube_1_final_dist,cube_2_final_dist,cube_3_final_dist
0,7.791858854860285,4,2,0.14592942743014237,0.29185885486028473,2026-01-14T23:20:54.576844,0.6158206462860107,1.0674406290054321,0.8014131784439087,0.7431440949440002
1,3.935419911478085,4,3,-0.2822900442609576,-0.5645800885219152,2026-01-14T23:20:54.716334,0.8335245251655579,1.0529299974441528,0.8014131784439087,0.9858104586601257
2,4.5999959549322345,4,2,0.049997977466117116,0.09999595493223423,2026-01-14T23:21:00.895596,0.6309798955917358,0.8014131784439087,0.7967202067375183,1.0113732814788818
3,1.3774342490515645,4,1,-0.061282875474217735,-0.12256575094843547,2026-01-14T23:21:02.329552,1.0649625062942505,0.7967202067375183,0.8025023937225342,0.6136043071746826
4,6.438586349614614,4,1,0.21929317480730692,0.43858634961461385,2026-01-14T23:21:02.626674,0.9954336881637573,0.647342324256897,0.7353464365005493,0.7967202067375183
5,7.799585385163062,4,3,0.14979269258153116,0.2995853851630623,2026-01-14T23:21:04.674442,0.7016146779060364,0.7431440949440002,1.0330525636672974,0.7735126614570618
6,6.4023559047064715,4,1,0.20117795235323588,0.40235590470647176,2026-01-14T23:21:08.760511,1.0047686100006104,0.7967202067375183,0.7967049479484558,0.6238182783126831
7,3.0376307544282355,4,1,0.018815377214117857,0.03763075442823571,2026-01-14T23:21:08.894217,0.7069392800331116,0.7985855340957642,0.9814953804016113,0.8498047590255737
8,7.67547160682104,4,2,0.08773580341051956,0.17547160682103913,2026-01-14T23:21:09.034096,0.9992474317550659,0.7431440949440002,1.0829482078552246,0.8014131784439087
9,6.4601055337271625,2,1,0.23005276686358134,0.4601055337271627,2026-01-14T23:21:11.153215,0.8613247275352478,0.7967202067375183,1.0282262563705444,1.060913324356079
10,13.245677280139208,4,2,0.6228386400696039,1.2456772801392078,2026-01-14T23:21:11.645650,0.7732937335968018,0.8455772399902344,0.7431440949440002,0.7016146779060364
11,6.481665565765809,4,1,0.24083278288290444,0.4816655657658089,2026-01-14T23:21:11.789669,0.7431440949440002,0.6428834795951843,0.8024284243583679,0.6251399517059326
12,9.549040301741622,4,2,0.2745201508708107,0.5490403017416214,2026-01-14T23:21:11.918278,0.6471295356750488,0.8014131784439087,0.7967202067375183,0.7244477868080139
