Model,Episodes,Avg Total Reward,Avg Success Rate (%),Avg Reshuffles,Avg Distance Reduced,Avg Time Saved
PPO-Discrete+MASAC,3,331.6998436599229,100.0,5.0,0.897410028203735,1.79482005640747
Duel-DDQN+MASAC,3,328.4086604439419,100.0,5.0,0.7146115056836027,1.429223011367205
DDQN+MASAC,3,320.1264876684879,100.0,5.0,0.8021040548239838,1.6042081096479677
C51-DDQN+MASAC,3,308.79224745856175,100.0,5.0,0.795102162545165,1.59020432509033
Heuristic,3,N/A,100.0,5.0,0.4211693386323119,0.8423386772646237
PER-DDQN-Light+MASAC,3,-71.43524847272028,66.66666666666666,5.0,0.879356055026905,1.75871211005381
PER-DDQN-Full+MASAC,3,-138.0081604462936,33.33333333333333,5.0,0.2882548875684801,0.5765097751369601
SAC-Discrete+MASAC,3,-199.97455965887778,33.33333333333333,4.0,0.391203099416184,0.782406198832368
TD3+MASAC,3,-265.95114158562313,0.0,5.0,0.763947956059143,1.527895912118286
PPO-Continuous+MASAC,3,-271.62326683905764,0.0,5.0,0.6055641594467214,1.2111283188934427
DDPG+MASAC,3,-276.3956244183087,0.0,5.0,0.5301865674605503,1.0603731349211005
SAC-Continuous+MASAC,3,-314.0856630481849,0.0,5.0,0.653139369978274,1.306278739956548
