model,Avg Total Reward,Avg Success Rate,Avg Reshuffles,Avg Distance Reduced,Avg Time Saved
PPO-Discrete+MASAC,331.7,100.0,5.0,0.897,1.795
Duel-DDQN+MASAC,328.409,100.0,5.0,0.715,1.429
DDQN+MASAC,320.126,100.0,5.0,0.802,1.604
C51-DDQN+MASAC,308.792,100.0,5.0,0.795,1.59
PER-DDQN-Light+MASAC,-71.435,66.7,5.0,0.879,1.759
PER-DDQN-Full+MASAC,-138.008,33.3,5.0,0.288,0.577
SAC-Discrete+MASAC,-199.975,33.3,4.0,0.391,0.782
TD3+MASAC,-265.951,0.0,5.0,0.764,1.528
PPO-Continuous+MASAC,-271.623,0.0,5.0,0.606,1.211
DDPG+MASAC,-276.396,0.0,5.0,0.53,1.06
SAC-Continuous+MASAC,-314.086,0.0,5.0,0.653,1.306
Heuristic,,100.0,5.0,0.421,0.842
